ダウンロードした時刻：2018/07/22 14:27:37

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1890/1/1,6.2,8,1,9.0,8,1,2.7,8,1
1890/1/2,3.0,8,1,5.3,8,1,0.4,8,1
1890/1/3,5.0,8,1,10.6,8,1,2.1,8,1
1890/1/4,1.9,8,1,5.0,8,1,-2.0,8,1
1890/1/5,1.4,8,1,8.5,8,1,-3.8,8,1
1890/1/6,1.4,8,1,8.5,8,1,-3.1,8,1
1890/1/7,2.7,8,1,10.4,8,1,-2.6,8,1
1890/1/8,4.5,8,1,13.2,8,1,-0.9,8,1
1890/1/9,6.6,8,1,12.7,8,1,-0.1,8,1
1890/1/10,5.2,8,1,9.6,8,1,1.7,8,1
1890/1/11,3.2,8,1,7.1,8,1,-1.1,8,1
1890/1/12,9.5,8,1,17.3,8,1,0.2,8,1
1890/1/13,3.4,8,1,9.1,8,1,-1.8,8,1
1890/1/14,-0.2,8,1,1.4,8,1,-2.7,8,1
1890/1/15,4.4,8,1,9.8,8,1,0.2,8,1
1890/1/16,5.0,8,1,8.9,8,1,0.2,8,1
1890/1/17,2.5,8,1,8.3,8,1,-1.3,8,1
1890/1/18,2.6,8,1,10.4,8,1,-3.6,8,1
1890/1/19,2.1,8,1,4.3,8,1,0.7,8,1
1890/1/20,1.8,8,1,6.6,8,1,-3.5,8,1
1890/1/21,0.5,8,1,4.5,8,1,-5.8,8,1
1890/1/22,5.6,8,1,13.7,8,1,-0.2,8,1
1890/1/23,4.8,8,1,7.1,8,1,3.2,8,1
1890/1/24,6.5,8,1,12.9,8,1,2.1,8,1
1890/1/25,1.7,8,1,6.1,8,1,-1.8,8,1
1890/1/26,1.7,8,1,7.1,8,1,-2.9,8,1
1890/1/27,2.4,8,1,8.5,8,1,-3.2,8,1
1890/1/28,3.0,8,1,7.0,8,1,0.2,8,1
1890/1/29,2.8,8,1,6.1,8,1,1.0,8,1
1890/1/30,2.6,8,1,9.5,8,1,-3.1,8,1
1890/1/31,2.6,8,1,9.1,8,1,-4.8,8,1
1890/2/1,5.3,8,1,13.0,8,1,-2.0,8,1
1890/2/2,6.5,8,1,13.9,8,1,1.3,8,1
1890/2/3,4.6,8,1,8.5,8,1,0.5,8,1
1890/2/4,4.2,8,1,6.2,8,1,1.8,8,1
1890/2/5,4.6,8,1,11.2,8,1,0.1,8,1
1890/2/6,4.7,8,1,13.0,8,1,-2.3,8,1
1890/2/7,9.0,8,1,17.4,8,1,-1.4,8,1
1890/2/8,15.8,8,1,20.1,8,1,6.7,8,1
1890/2/9,1.3,8,1,7.1,8,1,-1.8,8,1
1890/2/10,1.3,8,1,5.3,8,1,-4.2,8,1
1890/2/11,-0.7,8,1,2.0,8,1,-4.0,8,1
1890/2/12,2.3,8,1,8.4,8,1,-5.8,8,1
1890/2/13,3.4,8,1,10.8,8,1,-1.7,8,1
1890/2/14,6.1,8,1,12.6,8,1,-0.5,8,1
1890/2/15,7.2,8,1,11.6,8,1,2.5,8,1
1890/2/16,7.2,8,1,9.7,8,1,5.6,8,1
1890/2/17,12.4,8,1,15.7,8,1,8.3,8,1
1890/2/18,14.7,8,1,19.6,8,1,12.7,8,1
1890/2/19,15.5,8,1,20.8,8,1,12.2,8,1
1890/2/20,9.6,8,1,12.6,8,1,4.8,8,1
1890/2/21,6.0,8,1,10.1,8,1,2.5,8,1
1890/2/22,5.3,8,1,8.6,8,1,2.4,8,1
1890/2/23,5.0,8,1,9.4,8,1,1.7,8,1
1890/2/24,2.9,8,1,4.1,8,1,0.9,8,1
1890/2/25,4.8,8,1,11.8,8,1,-1.1,8,1
1890/2/26,2.4,8,1,7.3,8,1,-2.7,8,1
1890/2/27,5.0,8,1,9.7,8,1,-0.3,8,1
1890/2/28,5.1,8,1,9.6,8,1,2.5,8,1
1890/3/1,5.7,8,1,10.5,8,1,0.6,8,1
1890/3/2,3.5,8,1,7.8,8,1,-0.3,8,1
1890/3/3,5.7,8,1,9.9,8,1,1.1,8,1
1890/3/4,8.0,8,1,12.9,8,1,2.3,8,1
1890/3/5,7.1,8,1,12.0,8,1,2.3,8,1
1890/3/6,5.9,8,1,11.5,8,1,-0.1,8,1
1890/3/7,6.1,8,1,8.5,8,1,3.6,8,1
1890/3/8,8.9,8,1,15.1,8,1,3.9,8,1
1890/3/9,9.3,8,1,14.6,8,1,3.4,8,1
1890/3/10,10.6,8,1,12.8,8,1,8.5,8,1
1890/3/11,14.0,8,1,18.8,8,1,8.7,8,1
1890/3/12,9.8,8,1,12.3,8,1,7.9,8,1
1890/3/13,9.1,8,1,14.5,8,1,3.0,8,1
1890/3/14,6.0,8,1,9.8,8,1,1.2,8,1
1890/3/15,6.8,8,1,9.6,8,1,3.1,8,1
1890/3/16,7.3,8,1,10.9,8,1,3.7,8,1
1890/3/17,7.3,8,1,12.7,8,1,2.9,8,1
1890/3/18,9.5,8,1,17.0,8,1,0.7,8,1
1890/3/19,13.7,8,1,16.6,8,1,11.2,8,1
1890/3/20,13.8,8,1,18.8,8,1,9.6,8,1
1890/3/21,10.0,8,1,11.3,8,1,8.4,8,1
1890/3/22,8.7,8,1,10.3,8,1,5.5,8,1
1890/3/23,8.9,8,1,13.6,8,1,3.6,8,1
1890/3/24,12.7,8,1,19.3,8,1,8.0,8,1
1890/3/25,10.3,8,1,12.0,8,1,8.7,8,1
1890/3/26,10.0,8,1,13.6,8,1,7.2,8,1
1890/3/27,10.7,8,1,14.0,8,1,7.8,8,1
1890/3/28,9.6,8,1,10.5,8,1,8.2,8,1
